City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2022-04-21 15:41:57,42.6001,-73.9662,56.03,43,100,3.0
1,Port Alfred,ZA,2022-04-21 15:42:45,-33.5906,26.891,77.18,52,70,2.84
2,Ushuaia,AR,2022-04-21 15:50:44,-54.8,-68.3,44.22,65,75,17.27
3,Yellowknife,CA,2022-04-21 15:52:14,62.456,-114.3525,19.92,53,20,4.61
4,Busselton,AU,2022-04-21 15:42:41,-33.65,115.3333,59.27,62,0,15.23
5,Mataura,NZ,2022-04-21 15:52:39,-46.1927,168.8643,47.48,98,100,5.7
6,Padang,ID,2022-04-21 15:52:39,-0.9492,100.3543,78.84,83,94,2.77
7,Broome,US,2022-04-21 15:52:39,42.2506,-75.833,56.7,53,100,15.01
8,Longyearbyen,SJ,2022-04-21 15:52:40,78.2186,15.6401,31.84,69,40,0.0
9,Luderitz,NA,2022-04-21 15:52:40,-26.6481,15.1594,66.34,70,1,9.1
10,Rikitea,PF,2022-04-21 15:43:49,-23.1203,-134.9692,77.22,78,98,19.13
11,Nemuro,JP,2022-04-21 15:52:08,43.3236,145.575,42.75,97,100,17.94
12,Makaha,US,2022-04-21 15:52:41,21.4694,-158.2175,73.31,73,84,7.78
13,Golden,US,2022-04-21 15:49:57,39.7555,-105.2211,65.21,37,40,5.01
14,Dragor,DK,2022-04-21 15:52:41,55.5946,12.6664,64.51,41,26,5.75
15,Kodiak,US,2022-04-21 15:52:42,57.79,-152.4072,33.31,80,0,0.0
16,Poronaysk,RU,2022-04-21 15:52:42,49.2167,143.1167,33.64,97,75,4.5
17,Lebu,CL,2022-04-21 15:40:48,-37.6167,-73.65,52.54,97,100,16.69
18,Tautira,PF,2022-04-21 15:52:42,-17.7333,-149.15,77.72,82,46,12.84
19,Guerrero Negro,MX,2022-04-21 15:49:31,27.9769,-114.0611,63.81,63,0,18.25
20,Cape Town,ZA,2022-04-21 15:42:38,-33.9258,18.4232,68.41,65,0,14.97
21,Hithadhoo,MV,2022-04-21 15:52:43,-0.6,73.0833,84.56,66,8,7.96
22,Upernavik,GL,2022-04-21 15:52:43,72.7868,-56.1549,10.83,67,100,10.18
23,Ketchikan,US,2022-04-21 15:52:44,55.3422,-131.6461,40.98,81,0,6.91
24,Mahebourg,MU,2022-04-21 15:52:44,-20.4081,57.7,79.25,83,75,9.22
25,Hermanus,ZA,2022-04-21 15:43:56,-34.4187,19.2345,64.8,84,2,5.14
26,Soc Trang,VN,2022-04-21 15:52:45,9.6033,105.98,82.13,79,25,8.23
